Key,English
shapeshapePlateRound13mLeft01,Plate Round 13m Left 01
shapeshapePlateRound13mLeft02,Plate Round 13m Left 02
shapeshapePlateRound13mLeft03,Plate Round 13m Left 03
shapeshapePlateRound13mLeft04,Plate Round 13m Left 04
shapeshapePlateRound13mLeft05,Plate Round 13m Left 05
shapeshapePlateRound13mLeft06,Plate Round 13m Left 06
shapeshapePlateRound13mLeft07,Plate Round 13m Left 07
shapeshapePlateRound13mLeft08,Plate Round 13m Left 08
shapeshapePlateRound13mLeft09,Plate Round 13m Left 09
shapeshapePlateRound13mLeft10,Plate Round 13m Left 10
shapeshapePlateRound13mLeft11,Plate Round 13m Left 11
shapeshapePlateRound13mLeft12,Plate Round 13m Left 12
shapeshapePlateRound13mLeft13,Plate Round 13m Left 13
shapeshapePlateRound13mLeft14,Plate Round 13m Left 14
shapeshapePlateRound13mLeft15,Plate Round 13m Left 15
shapeshapePlateRound13mLeft16,Plate Round 13m Left 16
shapeshapePlateRound13mLeft17,Plate Round 13m Left 17
shapeshapePlateRound13mLeft18,Plate Round 13m Left 18
shapeshapePlateRound13mLeft19,Plate Round 13m Left 19
shapeshapePlateRound13mLeft20,Plate Round 13m Left 20
shapeshapePlateRound13mLeft21,Plate Round 13m Left 21
shapeshapePlateRound13mCenter01,Plate Round 13m Center 01
shapeshapePlateRound13mCenter02,Plate Round 13m Center 02
shapeshapePlateRound13mRight01,Plate Round 13m Right 01
shapeshapePlateRound13mRight02,Plate Round 13m Right 02
shapeshapePlateRound13mRight03,Plate Round 13m Right 03
shapeshapePlateRound13mRight04,Plate Round 13m Right 04
shapeshapePlateRound13mRight05,Plate Round 13m Right 05
shapeshapePlateRound13mRight06,Plate Round 13m Right 06
shapeshapePlateRound13mRight07,Plate Round 13m Right 07
shapeshapePlateRound13mRight08,Plate Round 13m Right 08
shapeshapePlateRound13mRight09,Plate Round 13m Right 09
shapeshapePlateRound13mRight10,Plate Round 13m Right 10
shapeshapePlateRound13mRight11,Plate Round 13m Right 11
shapeshapePlateRound13mRight12,Plate Round 13m Right 12
shapeshapePlateRound13mRight13,Plate Round 13m Right 13
shapeshapePlateRound13mRight14,Plate Round 13m Right 14
shapeshapePlateRound13mRight15,Plate Round 13m Right 15
shapeshapePlateRound13mRight16,Plate Round 13m Right 16
shapeshapePlateRound13mRight17,Plate Round 13m Right 17
shapeshapePlateRound13mRight18,Plate Round 13m Right 18
shapeshapePlateRound13mRight19,Plate Round 13m Right 19
shapeshapePlateRound13mRight20,Plate Round 13m Right 20
shapeshapePlateRound13mRight21,Plate Round 13m Right 21
